customer_id,signup_date,plan_type,company_size,industry,status,monthly_revenue
CUST_000001,2023-10-17,enterprise,small,healthcare,active,242.19
CUST_000002,2022-10-09,professional,medium,retail,active,176.97
CUST_000003,2024-01-25,starter,small,healthcare,active,31.05
CUST_000004,2024-07-02,professional,small,real_estate,active,82.64
CUST_000005,2023-03-09,enterprise,medium,technology,active,486.34
CUST_000006,2022-08-12,enterprise,small,retail,active,299.64
CUST_000007,2022-01-28,professional,large,real_estate,active,350.93
CUST_000008,2023-10-28,starter,small,real_estate,active,28.07
CUST_000009,2023-04-05,starter,small,non_profit,active,26.43
CUST_000010,2024-06-09,starter,small,technology,active,32.0
CUST_000011,2022-06-13,starter,medium,consulting,active,45.87
CUST_000012,2022-06-09,starter,small,retail,active,34.3
CUST_000013,2022-12-11,professional,small,healthcare,active,82.87
CUST_000014,2022-04-10,starter,small,education,churned,33.03
CUST_000015,2023-09-11,starter,medium,manufacturing,active,55.02
CUST_000016,2024-01-18,starter,medium,media,active,49.71
CUST_000017,2024-09-23,enterprise,small,consulting,active,248.62
CUST_000018,2022-10-28,premium,enterprise,non_profit,active,5538.91
CUST_000019,2023-01-06,starter,small,non_profit,active,25.43
CUST_000020,2022-03-13,professional,medium,technology,active,211.84
CUST_000021,2024-03-02,starter,small,manufacturing,active,34.63
CUST_000022,2024-05-25,enterprise,small,retail,active,342.83
CUST_000023,2023-01-25,professional,small,manufacturing,active,97.16
CUST_000024,2024-05-04,starter,small,education,churned,25.09
CUST_000025,2022-12-30,starter,medium,retail,active,52.34
CUST_000026,2023-12-20,premium,enterprise,healthcare,active,5008.49
CUST_000027,2022-06-25,enterprise,large,real_estate,active,1308.89
CUST_000028,2022-06-17,premium,medium,media,active,1141.19
CUST_000029,2024-08-05,starter,small,real_estate,active,25.75
CUST_000030,2022-11-29,starter,small,technology,active,25.86
CUST_000031,2022-02-02,starter,small,education,active,27.85
CUST_000032,2022-03-09,professional,large,retail,active,464.94
CUST_000033,2023-08-04,starter,small,education,active,25.67
CUST_000034,2023-05-27,professional,small,consulting,active,114.23
CUST_000035,2023-10-21,premium,small,media,active,513.43
CUST_000036,2022-05-23,starter,medium,retail,active,53.8
CUST_000037,2023-07-06,professional,small,manufacturing,active,108.78
CUST_000038,2023-03-15,enterprise,medium,non_profit,active,574.9
CUST_000039,2022-08-13,starter,medium,finance,active,49.19
CUST_000040,2022-04-04,starter,small,technology,active,33.19
CUST_000041,2022-06-06,enterprise,large,finance,churned,1339.08
CUST_000042,2023-03-09,starter,small,non_profit,active,23.94
CUST_000043,2023-01-26,starter,small,non_profit,active,34.76
CUST_000044,2023-06-26,professional,medium,manufacturing,active,236.5
CUST_000045,2024-05-31,professional,large,technology,active,427.77
CUST_000046,2022-04-28,professional,small,real_estate,active,108.93
CUST_000047,2024-02-27,professional,medium,education,active,168.08
CUST_000048,2023-03-22,professional,medium,finance,active,195.32
CUST_000049,2024-09-03,professional,medium,manufacturing,active,236.56
CUST_000050,2024-02-20,starter,small,finance,active,29.09
CUST_000051,2022-04-19,professional,small,manufacturing,active,112.53
CUST_000052,2023-06-04,starter,small,non_profit,active,25.51
CUST_000053,2023-01-18,professional,large,finance,active,405.28
CUST_000054,2024-03-08,professional,small,real_estate,active,115.57
CUST_000055,2023-09-06,starter,small,education,active,28.87
CUST_000056,2022-04-25,starter,small,education,active,33.39
CUST_000057,2024-05-01,enterprise,large,manufacturing,active,1074.04
CUST_000058,2022-09-04,enterprise,medium,non_profit,active,706.09
CUST_000059,2022-03-29,starter,large,media,active,111.51
